Name,ID,User 1,User 2,User 3,User 4,User 5,User 6,User 7,User 8,User 9,User 10
All,All,"Christy Kano
0000-0002-7711-0780","George Papanicolaou
0000-0003-1507-956X","Sahana Kukke
0000-0002-1359-6136","Chris Kinsinger
0000-0001-5015-4428","Laurel Kuxhaus
0000-0002-2160-8192",,"Vincent Rubinetti
0000-0002-4655-3773",,,
Data-driven search of Common Fund data sets for better discoverability and novel meta-analysis,R03OD034502,,,,,,,,,,
GTEx engagement with the CFDE-CC and other DCCs towards building a data ecosystem spanning the Common Fund projects,OT2OD030161,"Faisal Alquaddoomi
0000-0003-4297-8747",,,,,,,,,
Using Common Fund datasets for prioritization of disease-associated genetic variants,R03OD034494,,,,,,,,,,
Discovery of Chronotherapeutic Candidate Targets in Pancreatic Cancer,R03OD039982,,,,,,,,,,
Amplifying the Value of HuBMAP Data Through Data Interoperability and Collaboration,OT2OD030545,"Faisal Alquaddoomi
0000-0003-4297-8747",,,,,,,,,
Large-scale annotation-free disease correlation analysis of the iHMP,R03OD030596,,,,,,,,,,
3D Human Reference Body: Multiscale Exploration and Visualization of Biomolecular Data in Virtual Reality,R03OD039970,,,,,,,,,,
A cell-type specific atlas of TF-element connectivity across human tissues,R03OD039985,,,,,,,,,,
Durable Common Fund Data Interfaces and Tutorials with Bioconductor,R03OD032629,,,,,,,,,,
The CFDE Cloud Workspace,OT2OD037936,,,,,,,,,,
CONNECT: Collaborative Network for Nurturing Ecosystems of Common Fund Team Science,U54OD036472,"Vikram Aditya Ganesh
0009-0009-2056-2696","Sean Davis
0000-0002-8991-6458","Casey Greene
0000-0001-8713-9213",,,,,,,
Rare variant analysis integrating large public DNA sequencing controls and gene expression data for discovering novel predisposition genes of orofacial clefts,R03OD039975,,,,,,,,,,
In silico screening for immune surveillance adaptation in cancer using Common Fund data resources,R03OD036494,,,,,,,,,,
FREEMIND: Focused Research Education and Experience using Multimodal and Interdisciplinary NIH Datasets,R25OD039836,,,,,,,,,,
GeneSight: Advancing Insights into Complex Genetic Traits through CFDE-Enhanced Knowledge Graphs,R03OD038393,,,,,,,,,,
Short Course on Methods for MultiOmics Data Analysis,R25OD039833,,,,,,,,,,
Unraveling the topological architecture and phenotypic contexture of structural variation,R03OD032625,,,,,,,,,,
Deciphering the 3D genome of pediatric brain tumors,R03OD034499,,,,,,,,,,
Cross Repository Metabolomics Data and Workflow Integration,R03OD034493,,,,,,,,,,
Cell type harmonization of single cell data in HuBMAP and GTEx,R03OD036499,,,,,,,,,,
Functional Annotation of Glycan Motifs using Common-Fund Data Resources,R03OD034495,,,,,,,,,,
Meta-Analysis of Metabolic Determinants of Exercise Response in Common Funds Data,R03OD036493,,,,,,,,,,
Integrating metagenomics data into accurate mass stool metabolite identifications,R03OD034497,,,,,,,,,,
The Common Fund Knowledge Center (CFKC): providing scientifically valid knowledge from the Common Fund Data Ecosystem to a diverse biomedical research community.,OT2OD036440,,,,,,,,,,
Identification of blood biomarkers predictive of organ aging,R03OD036497,,,,,,,,,,
Personalized cancer drug repurposing using single cell RNA-Seq data,R03OD039978,,,,,,,,,,
Community Data Hub for Integrative Visualization,U24OD038421,,,,,,,,,,
