filetype	filename	link	size	sha256checksum
KG Assertions	dictionary_NAR_databases_deduplicate.csv	https://cfde-drc.s3.amazonaws.com/Bridge2AI/KG Assertions/2024-03-01/dictionary_NAR_databases_deduplicate.csv	332431	idxebqqDNkRDqgG4IDziJPyzOG83XfQLznIPMUGypq8=
KG Assertions	Papers.csv	https://cfde-drc.s3.amazonaws.com/Bridge2AI/KG Assertions/2024-03-01/Papers.csv	305136	TFRyCZSHx9Y3RHZd0SXOa7T4+hEYTPlXupVFUPDZxis=
KG Assertions	tkg 2.0.zip	https://cfde-drc.s3.amazonaws.com/Bridge2AI/KG Assertions/2024-03-01/tkg 2.0.zip	303893995	6ZpPhxpW95YWPREcYff5qteHdGaRitMkHeuQbGDerF8=
XMT	MoTrPAC_Endurance_Trained_Rats_2023.gmt	https://cfde-drc.s3.amazonaws.com/MoTrPAC/XMT/2024-03-05/MoTrPAC_Endurance_Trained_Rats_2023.gmt	187733	GHbcupKlcgz78vtTbdkSaY3RbiPNWzLNPMD104Yhugc=
XMT	LINCS_XMT_2022-12-13_LINCS_L1000_Chemical_Pertubation_Consensus_Signatures.gmt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-04-11/LINCS_XMT_2022-12-13_LINCS_L1000_Chemical_Pertubation_Consensus_Signatures.gmt	16319270	BxZ89Ja3/S7lTaA6yCv/Xhgwoh8EIy25JnF1Sk7VphY=
XMT	testfile.gmt	https://cfde-drc.s3.amazonaws.com/LINCS/XMT/2024-04-23/testfile.gmt	80	MWcavCS4IMIBHGVvlq3AVOy9Qbgd6RgfDAh3CgjCdqY=
C2M2	2024-01-04T11_45_25.136063-a7bb912c-ab20-11ee-9ed4-02402ff490c1.zip	https://cfde-drc.s3.amazonaws.com/HuBMAP/C2M2/2024-04-26/2024-01-04T11_45_25.136063-a7bb912c-ab20-11ee-9ed4-02402ff490c1.zip	1076294222	pmm476mNJOP4SB/kI83WaWNhb5QpBjXv3w7DFvEkuhY=
C2M2	hubmap-test-submission.zip	https://cfde-drc.s3.amazonaws.com/HuBMAP/C2M2/2024-04-26/hubmap-test-submission.zip	1076294222	pmm476mNJOP4SB/kI83WaWNhb5QpBjXv3w7DFvEkuhY=
KG Assertions	GTEx.zip	https://cfde-drc.s3.amazonaws.com/GTEx/KG Assertions/2024-04-29/GTEx.zip	149456464	icIIQG/ikXF55yVGBU8fzfObHFBYbdRo3Vguy0CiDko=
KG Assertions	4DN.zip	https://cfde-drc.s3.amazonaws.com/4DN/KG Assertions/2024-04-29/4DN.zip	25394417	X9yf+MN9LVlywBS75uLU9ncOiKThkm/vAdCl5FfifO4=
